BayID	DeviceID	Description1	Description2	Description3	Description4	Description5	Description6	DisabilityExt1	DisabilityExt2	DisabilityExt3	DisabilityExt4	DisabilityExt5	DisabilityExt6	Duration1	Duration2	Duration3	Duration4	Duration5	Duration6	EffectiveOnPH1	EffectiveOnPH2	EffectiveOnPH3	EffectiveOnPH4	EffectiveOnPH5	EffectiveOnPH6	EndTime1	EndTime2	EndTime3	EndTime4	EndTime5	EndTime6	Exemption1	Exemption2	Exemption3	Exemption4	Exemption5	Exemption6	FromDay1	FromDay2	FromDay3	FromDay4	FromDay5	FromDay6	StartTime1	StartTime2	StartTime3	StartTime4	StartTime5	StartTime6	ToDay1	ToDay2	ToDay3	ToDay4	ToDay5	ToDay6	TypeDesc1	TypeDesc2	TypeDesc3	TypeDesc4	TypeDesc5	TypeDesc6
567	18475	1P MTR M-SAT 7:30-18:30	2P MTR M-SAT 18.30 - 20.30	1P SUN 7:30-18:30				120	240	120				60	120	60				0	0	0				18:30:00	20:30:00	18:30:00										1	1	0				7:30:00	18:30:00	7:30:00				6	6	0				1P Meter	2P	1P			
568	18476	2P MTR M-F 7:30-16:00	2P MTR M-F 18:30-20:30	2P MTR SAT 7:30-20:30	2P SUN 7:30-18:30			240	240	240	240			120	120	120	120			0	0	0	0			16:00:00	20:30:00	20:30:00	18:30:00									1	1	6	0			7:30:00	18:30:00	7:30:00	7:30:00			5	5	6	0			2P Meter	2P Meter	2P Meter	2P		
569	18477	1P MTR M-SAT 7:30-18:30	2P MTR M-SAT 18.30 - 20.30	1P SUN 7:30-18:30				120	240	120				60	120	60				0	0	0				18:30:00	20:30:00	18:30:00										1	1	0				7:30:00	18:30:00	7:30:00				6	6	0				1P Meter	2P	1P			
570	18478	1P MTR M-SAT 7:30-18:30	2P MTR M-SAT 18.30 - 20.30	1P SUN 7:30-18:30				120	240	120				60	120	60				0	0	0				18:30:00	20:30:00	18:30:00										1	1	0				7:30:00	18:30:00	7:30:00				6	6	0				1P Meter	2P	1P			
571	18479	2P MTR M-F 7:30-16:00	2P MTR M-F 18:30-20:30	2P MTR SAT 7:30-20:30	2P SUN 7:30-18:30			240	240	240	240			120	120	120	120			0	0	0	0			16:00:00	20:30:00	20:30:00	18:30:00									1	1	6	0			7:30:00	18:30:00	7:30:00	7:30:00			5	5	6	0			2P Meter	2P Meter	2P Meter	2P		
573	18480	2P MTR M-F 7:30-16:00	2P MTR M-F 18:30-20:30	2P MTR SAT 7:30-20:30	2P SUN 7:30-18:30			240	240	240	240			120	120	120	120			0	0	0	0			16:00:00	20:30:00	20:30:00	18:30:00									1	1	6	0			7:30:00	18:30:00	7:30:00	7:30:00			5	5	6	0			2P Meter	2P Meter	2P Meter	2P		
574	18481	2P MTR M-F 7:30-16:00	2P MTR M-F 18:30-20:30	2P MTR SAT 7:30-20:30	2P SUN 7:30-18:30			240	240	240	240			120	120	120	120			0	0	0	0			16:00:00	20:30:00	20:30:00	18:30:00									1	1	6	0			7:30:00	18:30:00	7:30:00	7:30:00			5	5	6	0			2P Meter	2P Meter	2P Meter	2P		
575	18482	2P MTR M-F 7:30-16:00	2P MTR M-F 18:30-20:30	2P MTR SAT 7:30-20:30	2P SUN 7:30-18:30			240	240	240	240			120	120	120	120			0	0	0	0			16:00:00	20:30:00	20:30:00	18:30:00									1	1	6	0			7:30:00	18:30:00	7:30:00	7:30:00			5	5	6	0			2P Meter	2P Meter	2P Meter	2P		
576	18483	2P MTR M-F 7:30-16:00	2P MTR M-F 18:30-20:30	2P MTR SAT 7:30-20:30	2P SUN 7:30-18:30			240	240	240	240			120	120	120	120			0	0	0	0			16:00:00	20:30:00	20:30:00	18:30:00									1	1	6	0			7:30:00	18:30:00	7:30:00	7:30:00			5	5	6	0			2P Meter	2P Meter	2P Meter	2P		
577	18484	2P MTR M-F 7:30-16:00	2P MTR M-F 18:30-20:30	2P MTR SAT 7:30-20:30	2P SUN 7:30-18:30			240	240	240	240			120	120	120	120			0	0	0	0			16:00:00	20:30:00	20:30:00	18:30:00									1	1	6	0			7:30:00	18:30:00	7:30:00	7:30:00			5	5	6	0			2P Meter	2P Meter	2P Meter	2P		
579	18485	2P MTR M-F 7:30-16:00	2P MTR M-F 18:30-20:30	2P MTR SAT 7:30-20:30	2P SUN 7:30-18:30			240	240	240	240			120	120	120	120			0	0	0	0			16:00:00	20:30:00	20:30:00	18:30:00									1	1	6	0			7:30:00	18:30:00	7:30:00	7:30:00			5	5	6	0			2P Meter	2P Meter	2P Meter	2P		
580	18486	2P MTR M-F 7:30-16:00	2P MTR M-F 18:30-20:30	2P MTR SAT 7:30-20:30	2P SUN 7:30-18:30			240	240	240	240			120	120	120	120			0	0	0	0			16:00:00	20:30:00	20:30:00	18:30:00									1	1	6	0			7:30:00	18:30:00	7:30:00	7:30:00			5	5	6	0			2P Meter	2P Meter	2P Meter	2P		
581	18487	2P MTR M-F 7:30-16:00	2P MTR M-F 18:30-20:30	2P MTR SAT 7:30-20:30	2P SUN 7:30-18:30			240	240	240	240			120	120	120	120			0	0	0	0			16:00:00	20:30:00	20:30:00	18:30:00									1	1	6	0			7:30:00	18:30:00	7:30:00	7:30:00			5	5	6	0			2P Meter	2P Meter	2P Meter	2P		
"6,160"	17251	1P M-SUN 7:30-23:00						120						60						0						23:00:00												1						7:30:00						0						1P					
596	18433	1/2P MTR M-SAT 7:30-19:30	1P SUN 7:30-18:30					60	120					30	60					0	0					19:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					1/2P Meter	1P				
597	18434	1/2P MTR M-SAT 7:30-19:30	1P SUN 7:30-18:30					60	120					30	60					0	0					19:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					1/2P Meter	1P				
598	18435	1P MTR M-SAT 7:30-18:30	2P MTR M-SAT 18.30 - 20.30	1P SUN 7:30-18:30				120	240	120				60	120	60				0	0	0				18:30:00	20:30:00	18:30:00										1	1	0				7:30:00	18:30:00	7:30:00				6	6	0				1P Meter	2P	1P			
600	18437	1P MTR M-SAT 7:30-18:30	2P MTR M-SAT 18.30 - 20.30	1P SUN 7:30-18:30				120	240	120				60	120	60				0	0	0				18:30:00	20:30:00	18:30:00										1	1	0				7:30:00	18:30:00	7:30:00				6	6	0				1P Meter	2P	1P			
602	18438	1P MTR M-SAT 7:30-18:30	2P MTR M-SAT 18.30 - 20.30	1P SUN 7:30-18:30				120	240	120				60	120	60				0	0	0				18:30:00	20:30:00	18:30:00										1	1	0				7:30:00	18:30:00	7:30:00				6	6	0				1P Meter	2P	1P			
603	18439	1P MTR M-SAT 7:30-18:30	2P MTR M-SAT 18.30 - 20.30	1P SUN 7:30-18:30				120	240	120				60	120	60				0	0	0				18:30:00	20:30:00	18:30:00										1	1	0				7:30:00	18:30:00	7:30:00				6	6	0				1P Meter	2P	1P			
604	18440	2P MTR M-SAT 7:30-20:30	2P SUN 7:30-18:30					240	240					120	120					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					2P Meter	2P				
605	18441	2P MTR M-SAT 7:30-20:30	2P SUN 7:30-18:30					240	240					120	120					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					2P Meter	2P				
606	18442	2P MTR M-SAT 7:30-20:30	2P SUN 7:30-18:30					240	240					120	120					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					2P Meter	2P				
607	18443	2P MTR M-SAT 7:30-20:30	2P SUN 7:30-18:30					240	240					120	120					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					2P Meter	2P				
609	18445	2P MTR M-SAT 7:30-20:30	2P SUN 7:30-18:30					240	240					120	120					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					2P Meter	2P				
610	18446	LZ 15M M-SUN 7:30-19:30						0						15						0						19:30:00												1						7:30:00						0						Loading Zone 15M					
611	18447	2P MTR M-SAT 7:30-20:30	2P SUN 7:30-18:30					240	240					120	120					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					2P Meter	2P				
612	18448	2P MTR M-SAT 7:30-20:30	2P SUN 7:30-18:30					240	240					120	120					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					2P Meter	2P				
614	18449	2P MTR M-SAT 7:30-20:30	2P SUN 7:30-18:30					240	240					120	120					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					2P Meter	2P				
615	18450	2P MTR M-SAT 7:30-20:30	2P SUN 7:30-18:30					240	240					120	120					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					2P Meter	2P				
617	18452	2P MTR M-SAT 7:30-20:30	2P SUN 7:30-18:30					240	240					120	120					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					2P Meter	2P				
618	18453	2P MTR M-SAT 7:30-20:30	2P SUN 7:30-18:30					240	240					120	120					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					2P Meter	2P				
619	18454	2P MTR M-SAT 7:30-20:30	2P SUN 7:30-18:30					240	240					120	120					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					2P Meter	2P				
620	18455	2P MTR M-SAT 7:30-20:30	2P SUN 7:30-18:30					240	240					120	120					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					2P Meter	2P				
621	18456	2P MTR M-SAT 7:30-20:30	2P SUN 7:30-18:30					240	240					120	120					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					2P Meter	2P				
622	18457	2P MTR M-SAT 7:30-20:30	2P SUN 7:30-18:30					240	240					120	120					0	0					20:30:00	18:30:00											1	0					7:30:00	7:30:00					6	0					2P Meter	2P				
623	18458	1P MTR M-SAT 7:30-18:30	2P MTR M-SAT 18.30 - 20.30	1P SUN 7:30-18:30				120	240	120				60	120	60				0	0	0				18:30:00	20:30:00	18:30:00										1	1	0				7:30:00	18:30:00	7:30:00				6	6	0				1P Meter	2P	1P			
