"bay_id	st_marker_id	location	lat	lon",
"5508	11949W	""(-37.81509804827256"," 144.9826358111394)""	-37.81509805	144.9826358"
"2632	10102E	""(-37.803743426697338"," 144.94811070076594)""	-37.80374343	144.9481107"
"2661	10168E	""(-37.804413762342229"," 144.94947988565991)""	-37.80441376	144.9494799"
"5313	7813W	""(-37.82945098855042"," 144.97103665203073)""	-37.82945099	144.9710367"
"798	C450	""(-37.81176791750255"," 144.97042264131869)""	-37.81176792	144.9704226"
"1125	C1166	""(-37.813636410895967"," 144.96007415293735)""	-37.81363641	144.9600742"
"1243	1472E	""(-37.815811470377213"," 144.95559072583021)""	-37.81581147	144.9555907"
"1291	4483W	""(-37.812853457047325"," 144.95397485831063)""	-37.81285346	144.9539749"
"3310	5994N	""(-37.809740310221414"," 144.95895166842706)""	-37.80974031	144.9589517"
"6302	13361W	""(-37.819117437742975"," 144.94933581246772)""	-37.81911744	144.9493358"
"1185	1398E	""(-37.819606855098925"," 144.95733142915694)""	-37.81960686	144.9573314"
"2735	4388E	""(-37.808673342906438"," 144.96070333026526)""	-37.80867334	144.9607033"
"6321	13399W	""(-37.821289947228408"," 144.95104723952451)""	-37.82128995	144.9510472"
"981	908E	""(-37.816943205127842"," 144.9644959619641)""	-37.81694321	144.964496"
"6328	13474E	""(-37.818779289022388"," 144.94987767039973)""	-37.81877929	144.9498777"
"6335	13488E	""(-37.819652409237932"," 144.95056451756312)""	-37.81965241	144.9505645"
"3414	6263S	""(-37.807731014352761"," 144.96623032385338)""	-37.80773101	144.9662303"
"6835	14030E	""(-37.796913802209765"," 144.95811311515331)""	-37.7969138	144.9581131"
"1260	4450E	""(-37.813976329304694"," 144.95474560717474)""	-37.81397633	144.9547456"
"2075	3572N	""(-37.813813667802179"," 144.9530054982234)""	-37.81381367	144.9530055"
"879	780E	""(-37.811950470797413"," 144.96782860739688)""	-37.81195047	144.9678286"
"2687	10196E	""(-37.803631677197352"," 144.94961832436664)""	-37.80363168	144.9496183"
"2911	4882E	""(-37.808372592830409"," 144.95801670673188)""	-37.80837259	144.9580167"
"1286	4478E	""(-37.81288018452036"," 144.9542360071213)""	-37.81288018	144.954236"
"1130	C1176	""(-37.813500526951046"," 144.96001257640995)""	-37.81350053	144.9600126"
"6237	13352E	""(-37.815676389961801"," 144.94535059334541)""	-37.81567639	144.9453506"
"875	771W	""(-37.812319305476443"," 144.96775142225908)""	-37.81231931	144.9677514"
"5367	11708E	""(-37.810376314861657"," 144.97294166063676)""	-37.81037631	144.9729417"
"5880	12908N	""(-37.798363835771482"," 144.96528028477456)""	-37.79836384	144.9652803"
"1259	1689W	""(-37.820031948029666"," 144.95727285416268)""	-37.82003195	144.9572729"
"6591	13791W	""(-37.813069156681486"," 144.94064157729275)""	-37.81306916	144.9406416"
"6360	13304N	""(-37.821797029032552"," 144.95081395825221)""	-37.82179703	144.950814"
"5926	12813S	""(-37.80304146023812"," 144.96772743041686)""	-37.80304146	144.9677274"
"1121	C1158	""(-37.813752928435925"," 144.96012686722727)""	-37.81375293	144.9601269"
"2673	10182E	""(-37.80400269816495"," 144.94955220903609)""	-37.8040027	144.9495522"
"5289	1595W	""(-37.811711648916102"," 144.9506374191422)""	-37.81171165	144.9506374"
"5288	1597W	""(-37.811660596666414"," 144.95061387045087)""	-37.8116606	144.9506139"
"5355	8891W	""(-37.824832420723681"," 144.96125203711455)""	-37.82483242	144.961252"
"2676	10185W	""(-37.803936074405868"," 144.94936976987404)""	-37.80393607	144.9493698"
